'2024-07-31','00:00:01.624384',78,27
'2024-07-31','00:00:02.748998',70,37
'2024-07-31','00:00:03.879838',72,35
'2024-07-31','00:00:05.004809',64,45
'2024-07-31','00:00:06.131512',66,42
'2024-07-31','00:00:07.255845',69,38
'2024-07-31','00:00:08.382063',73,33
'2024-07-31','00:00:09.412134',90,12
'2024-07-31','00:00:10.442094',66,42
'2024-07-31','00:00:11.487908',82,22
'2024-07-31','00:03:02.057898',86,17
'2024-07-31','00:03:03.199657',72,35
'2024-07-31','00:03:04.319848',67,41
'2024-07-31','00:03:08.169088',70,37
'2024-07-31','00:03:09.225555',67,41
'2024-07-31','00:03:10.356276',75,31
'2024-07-31','00:03:11.473287',70,37
'2024-07-31','00:03:12.507480',67,41
'2024-07-31','00:03:13.624011',79,26
'2024-07-31','00:03:16.803941',69,38
'2024-07-31','00:06:02.389351',75,31
'2024-07-31','00:06:03.513403',89,13
'2024-07-31','00:06:04.653596',69,38
'2024-07-31','00:06:05.762409',49,63
'2024-07-31','00:06:06.895589',73,33
'2024-07-31','00:06:08.064309',76,30
'2024-07-31','00:06:09.142937',59,51
'2024-07-31','00:06:10.277015',70,37
'2024-07-31','00:06:11.398983',74,32
'2024-07-31','00:06:12.436565',82,22
'2024-07-31','00:09:02.004187',74,32
'2024-07-31','00:09:03.139683',70,37
'2024-07-31','00:09:04.179951',68,40
'2024-07-31','00:09:05.222891',67,41
'2024-07-31','00:09:06.283797',54,57
'2024-07-31','00:09:07.321783',73,33
'2024-07-31','00:09:08.370445',71,36
'2024-07-31','00:09:09.410104',67,41
'2024-07-31','00:09:10.490632',64,45
'2024-07-31','00:09:11.530405',82,22
'2024-07-31','00:12:02.024364',67,41
'2024-07-31','00:12:03.058076',67,41
'2024-07-31','00:12:04.174826',89,13
'2024-07-31','00:12:05.304470',75,31
'2024-07-31','00:12:06.430428',73,33
'2024-07-31','00:12:07.552631',75,31
'2024-07-31','00:12:08.687867',75,31
'2024-07-31','00:12:09.889405',65,43
'2024-07-31','00:12:10.940552',72,35
'2024-07-31','00:12:11.979177',72,35
'2024-07-31','00:15:01.613327',83,21
'2024-07-31','00:15:02.666402',76,30
'2024-07-31','00:15:03.870487',68,40
'2024-07-31','00:15:04.907044',79,26
'2024-07-31','00:15:05.964249',74,32
'2024-07-31','00:15:07.008663',75,31
'2024-07-31','00:15:08.065313',78,27
'2024-07-31','00:15:09.104926',76,30
'2024-07-31','00:15:10.152131',76,30
'2024-07-31','00:15:11.187977',68,40
'2024-07-31','00:18:01.776429',97,3
'2024-07-31','00:18:03.075490',91,11
'2024-07-31','00:18:04.120507',71,36
'2024-07-31','00:18:05.488715',78,27
'2024-07-31','00:18:06.583381',90,12
'2024-07-31','00:18:07.751549',81,23
'2024-07-31','00:18:09.899857',81,23
'2024-07-31','00:18:12.741117',77,28
'2024-07-31','00:18:13.791250',73,33
'2024-07-31','00:18:16.336339',71,36
'2024-07-31','00:21:01.899215',83,21
'2024-07-31','00:21:03.021537',70,37
'2024-07-31','00:21:04.160954',84,20
'2024-07-31','00:21:05.201356',78,27
'2024-07-31','00:21:06.290980',75,31
'2024-07-31','00:21:07.425788',74,32
'2024-07-31','00:21:08.479500',74,32
'2024-07-31','00:21:09.575166',98,2
'2024-07-31','00:21:10.696228',73,33
'2024-07-31','00:21:11.841122',79,26
'2024-07-31','00:24:02.321182',91,11
'2024-07-31','00:24:03.453586',66,42
'2024-07-31','00:24:04.579835',79,26
'2024-07-31','00:24:05.718484',80,25
'2024-07-31','00:24:06.770004',66,42
'2024-07-31','00:24:07.811441',70,37
'2024-07-31','00:24:08.844784',82,22
'2024-07-31','00:24:09.887240',78,27
'2024-07-31','00:24:10.922180',76,30
'2024-07-31','00:24:11.964144',88,15
'2024-07-31','00:27:02.485412',59,51
'2024-07-31','00:27:03.616032',82,22
'2024-07-31','00:27:04.664289',78,27
'2024-07-31','00:27:05.695149',79,26
'2024-07-31','00:27:06.743717',79,26
'2024-07-31','00:27:07.802414',79,26
'2024-07-31','00:27:08.843096',79,26
'2024-07-31','00:27:09.888132',96,5
'2024-07-31','00:27:10.933489',95,6
'2024-07-31','00:27:11.983900',95,6
'2024-07-31','00:30:01.681461',83,21
'2024-07-31','00:30:02.791589',72,35
'2024-07-31','00:30:03.831523',79,26
'2024-07-31','00:30:04.867122',82,22
'2024-07-31','00:30:05.916781',78,27
'2024-07-31','00:30:06.960912',79,26
'2024-07-31','00:30:08.270468',67,41
'2024-07-31','00:30:09.366165',72,35
'2024-07-31','00:30:10.435871',66,42
'2024-07-31','00:30:11.473596',80,25
'2024-07-31','00:33:02.011003',78,27
'2024-07-31','00:33:03.415616',78,27
'2024-07-31','00:33:04.462237',82,22
'2024-07-31','00:33:05.500908',80,25
'2024-07-31','00:33:06.549267',96,5
'2024-07-31','00:33:07.593811',80,25
'2024-07-31','00:33:08.633320',78,27
'2024-07-31','00:33:09.675608',79,26
'2024-07-31','00:33:10.726230',80,25
'2024-07-31','00:33:11.754929',79,26
'2024-07-31','00:36:02.331290',72,35
'2024-07-31','00:36:03.454266',51,61
'2024-07-31','00:36:04.590515',83,21
'2024-07-31','00:36:05.709698',78,27
'2024-07-31','00:36:06.841037',83,21
'2024-07-31','00:36:07.884437',79,26
'2024-07-31','00:36:08.932412',94,7
'2024-07-31','00:36:09.968294',59,51
'2024-07-31','00:36:11.008597',81,23
'2024-07-31','00:36:12.049641',71,36
'2024-07-31','00:39:01.554248',83,21
'2024-07-31','00:39:02.768782',80,25
'2024-07-31','00:39:03.810796',86,17
'2024-07-31','00:39:04.851379',79,26
'2024-07-31','00:39:05.888712',79,26
'2024-07-31','00:39:06.968955',70,37
'2024-07-31','00:39:08.102417',78,27
'2024-07-31','00:39:09.155535',80,25
'2024-07-31','00:39:10.192304',77,28
'2024-07-31','00:39:11.262003',82,22
'2024-07-31','00:42:01.758748',83,21
'2024-07-31','00:42:02.916553',88,15
'2024-07-31','00:42:04.020435',89,13
'2024-07-31','00:42:05.067013',95,6
'2024-07-31','00:42:06.101971',96,5
'2024-07-31','00:42:07.154869',71,36
'2024-07-31','00:42:08.215943',82,22
'2024-07-31','00:42:09.256102',78,27
'2024-07-31','00:42:10.290713',88,15
'2024-07-31','00:42:11.323738',77,28
'2024-07-31','00:45:01.897669',54,57
'2024-07-31','00:45:03.024317',83,21
'2024-07-31','00:45:04.145816',79,26
'2024-07-31','00:45:05.209579',76,30
'2024-07-31','00:45:06.253149',65,43
'2024-07-31','00:45:07.293211',96,5
'2024-07-31','00:45:08.353544',65,43
'2024-07-31','00:45:09.406525',79,26
'2024-07-31','00:45:10.502539',82,22
'2024-07-31','00:45:11.574992',78,27
'2024-07-31','00:48:02.108727',79,26
'2024-07-31','00:48:03.261463',68,40
'2024-07-31','00:48:04.482049',74,32
'2024-07-31','00:48:05.524058',77,28
'2024-07-31','00:48:06.565404',77,28
'2024-07-31','00:48:07.598045',76,30
'2024-07-31','00:48:08.634254',95,6
'2024-07-31','00:48:09.686653',75,31
'2024-07-31','00:48:10.752994',76,30
'2024-07-31','00:48:11.811706',97,3
'2024-07-31','00:51:02.346977',87,16
'2024-07-31','00:51:03.469598',77,28
'2024-07-31','00:51:04.833110',73,33
'2024-07-31','00:51:05.936724',51,61
'2024-07-31','00:51:06.980658',76,30
'2024-07-31','00:51:08.094182',75,31
'2024-07-31','00:51:09.148873',69,38
'2024-07-31','00:51:10.191281',76,30
'2024-07-31','00:51:11.235148',76,30
'2024-07-31','00:51:12.288347',64,45
'2024-07-31','00:54:01.856631',77,28
'2024-07-31','00:54:03.002394',101,0
'2024-07-31','00:54:04.235406',78,27
'2024-07-31','00:54:05.290406',86,17
'2024-07-31','00:54:06.337387',75,31
'2024-07-31','00:54:07.385474',52,60
'2024-07-31','00:54:09.504707',88,15
'2024-07-31','00:54:10.572616',76,30
'2024-07-31','00:54:11.893543',71,36
'2024-07-31','00:54:13.018751',83,21
'2024-07-31','00:57:01.853007',83,21
'2024-07-31','00:57:02.905303',83,21
'2024-07-31','00:57:04.039220',79,26
'2024-07-31','00:57:05.160145',79,26
'2024-07-31','00:57:06.278340',75,31
'2024-07-31','00:57:07.402477',85,18
'2024-07-31','00:57:08.638456',75,31
'2024-07-31','00:57:09.682270',76,30
'2024-07-31','00:57:10.723014',77,28
'2024-07-31','00:57:11.774642',76,30
'2024-07-31','01:00:02.313129',54,57
'2024-07-31','01:00:03.456220',73,33
'2024-07-31','01:00:04.571429',75,31
'2024-07-31','01:00:05.684038',75,31
'2024-07-31','01:00:06.815270',76,30
'2024-07-31','01:00:07.947749',75,31
'2024-07-31','01:00:09.480236',76,30
'2024-07-31','01:00:10.651696',76,30
'2024-07-31','01:00:11.737044',72,35
'2024-07-31','01:00:12.854026',83,21
'2024-07-31','01:03:02.758030',76,30
'2024-07-31','01:03:08.115270',76,30
'2024-07-31','01:03:09.612896',75,31
'2024-07-31','01:03:10.664492',75,31
'2024-07-31','01:03:11.710410',76,30
'2024-07-31','01:03:12.771606',76,30
'2024-07-31','01:03:13.833338',72,35
'2024-07-31','01:03:14.883703',75,31
'2024-07-31','01:03:15.923179',62,47
'2024-07-31','01:03:17.011567',70,37
'2024-07-31','01:06:01.537575',75,31
'2024-07-31','01:06:02.664081',75,31
'2024-07-31','01:06:03.716600',76,30
'2024-07-31','01:06:04.752677',48,65
'2024-07-31','01:06:05.808856',74,32
'2024-07-31','01:06:06.848485',75,31
'2024-07-31','01:06:07.887444',75,31
'2024-07-31','01:06:08.924229',96,5
'2024-07-31','01:06:09.965762',74,32
'2024-07-31','01:06:11.015300',76,30
'2024-07-31','01:09:01.571404',74,32
'2024-07-31','01:09:02.706819',66,42
'2024-07-31','01:09:04.030249',75,31
'2024-07-31','01:09:05.079692',70,37
'2024-07-31','01:09:06.166459',72,35
'2024-07-31','01:09:07.224055',74,32
'2024-07-31','01:09:08.270658',74,32
'2024-07-31','01:09:09.332169',81,23
'2024-07-31','01:09:10.409977',71,36
'2024-07-31','01:09:11.482560',74,32
'2024-07-31','01:12:02.004194',74,32
'2024-07-31','01:12:03.121183',75,31
'2024-07-31','01:12:04.252933',74,32
'2024-07-31','01:12:05.288872',59,51
'2024-07-31','01:12:06.343614',74,32
'2024-07-31','01:12:07.395465',74,32
